City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Prince Albert,CA,53.2001,-105.7677,64.35,88,75,2.3,smoke
332,Omsukchan,RU,62.5333,155.8,48.07,85,100,6.78,overcast clouds
333,Ballina,AU,-28.8667,153.5667,73.58,60,0,8.88,clear sky
334,Ouesso,CG,1.6136,16.0517,70.3,97,89,2.06,overcast clouds
335,Acari,PE,-15.4311,-74.6158,63.66,79,53,4.14,broken clouds
336,Yumen,CN,40.2833,97.2,81.32,16,99,5.82,overcast clouds
337,Ferme-Neuve,CA,46.7001,-75.4493,65.98,79,99,3.47,overcast clouds
338,Smirnykh,RU,49.75,142.8333,57.43,92,100,5.61,light rain
339,Ostrovnoy,RU,68.0531,39.5131,56.62,79,20,3.4,few clouds
340,Pathein,MM,16.7833,94.7333,87.06,68,98,11.79,overcast clouds
341,Tarakan,ID,3.3,117.6333,85.5,74,40,4.61,scattered clouds
342,Hansot,IN,21.5833,72.8,87.78,64,72,8.37,broken clouds
343,Acapulco,MX,16.8634,-99.8901,78.17,89,100,9.01,overcast clouds
344,Kenai,US,60.5544,-151.2583,63.03,85,1,6.91,clear sky
345,Rubtsovsk,RU,51.5,81.25,78.98,36,30,2.26,scattered clouds
