City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Itoman,JP,88.18,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
413,Mor,HU,68.09,scattered clouds,47.3779,18.2035,Hétkúti Wellness Hotel és Lovaspark
415,Eyl,SO,80.56,broken clouds,7.9803,49.8164,Amiin Hotel
417,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
418,Tomatlan,MX,76.01,overcast clouds,19.9333,-105.25,El Salvial
421,Oussouye,SN,76.53,moderate rain,12.485,-16.5469,Auberge du Routard
422,Bichura,RU,66.47,overcast clouds,50.5881,107.6022,Gostinitsa Uyut
424,Hamilton,US,73.78,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
425,La Ronge,CA,68.25,smoke,55.1001,-105.2842,Northland Motor Hotel
428,Goregaon,IN,85.32,scattered clouds,18.1667,73.3,Vichare Farms and Agritourism Center
432,Vigrestad,NO,65.88,overcast clouds,58.5667,5.7,Brusand Camping
434,Rosarito,MX,67.15,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
435,Pafos,CY,85.23,few clouds,34.7667,32.4167,Elysium Hotel
436,Mackay,AU,75.04,few clouds,-21.15,149.2,International Lodge Motel
437,Machico,PT,72.68,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
438,Surt,LY,81.79,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
442,Cherskiy,RU,65.19,scattered clouds,68.75,161.3,Gostinitsa
443,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Uncle Junior Robert
445,Aloleng,PH,84.0,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
446,Vancouver,CA,67.15,overcast clouds,49.2497,-123.1193,"Park Inn & Suites by Radisson Vancouver, BC"
447,Lahaina,US,78.8,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
448,Sarh,TD,75.11,few clouds,9.1429,18.3923,Domicile 1sur le goudron
